Form	Word	Scribe	Page	Grammar	Vowel	Syllable
gefandod	fandian	Hatt1	403.07	perf.f.acc.pl.	o	final
gewundedum	wundian	Hatt1	403.3	perf.n.dat.pl.	e	mid
gemyndgade	myndgian	Hatt1	403.31	pret.3.sg.ind.	a	mid
sceamode	scamian	Hatt1	403.32	pret.3.pl.sub.	o	mid
gehnescode	hnescian	Hatt1	403.34	perf.n.nom.pl.	o	mid
gehnescod	hnescian	Hatt1	405.02	perf.n.nom.pl.	o	final
gesyngod	syngian	Hatt1	405.23	supine	o	final
manode	manian	Hatt1	405.27	pret.3.sg.ind.	o	mid
gelaðode	laðian	Hatt1	405.33	pret.3.sg.ind.	o	mid
cliopode	clipian	Hatt1	405.35	pret.3.sg.ind.	o	mid
oferhogod	hycgan	Hatt1	405.36	perf.m.nom.sg.	o	final
laðude	laðian	Hatt1	407.01	pret.3.sg.ind.	u	mid
ungefandod	fandian	Hatt1	407.19	supine	o	final
ungeendode	endian	Hatt1	407.3	perf.f.nom.pl.	o	mid
ungefandod	fandian	Hatt1	409.16	supine	o	final
ungefandod	fandian	Hatt1	409.22	supine	o	final
hrēowsade	hrēowsian	Hatt1	411.12	pret.3.sg.ind.	a	mid
